Date,Time,Direction,Type,Occupancy,Green Vehicle,Date Code
26-10-2022,10.30am,in,car,2,no,73
26-10-2022,10.30am,in,car,1,no,15
26-10-2022,10.30am,in,van,1,no,71
26-10-2022,10.30am,in,bicycle,1,no,none
26-10-2022,10.30am,in,van,1,no,70
26-10-2022,10.30am,in,bicycle,1,no,none
26-10-2022,10.30am,in,car,2,no,72
26-10-2022,10.30am,in,bicycle,2,no,none
26-10-2022,10.30am,in,car,2,no,66
26-10-2022,10.30am,in,car,1,no,10
26-10-2022,10.30am,in,van,1,no,72
26-10-2022,10.30am,in,car,1,yes,71
26-10-2022,10.30am,in,car,2,no,22
26-10-2022,10.30am,in,car,2,no,21
26-10-2022,10.30am,in,car,1,no,16
26-10-2022,10.30am,in,bus,80,no,66
26-10-2022,10.30am,in,bicycle,1,no,none
26-10-2022,10.30am,in,car,2,no,17
26-10-2022,10.35am,in,car,2,no,17
26-10-2022,10.35am,in,car,1,no,none
26-10-2022,10.35am,in,lorry,1,no,73
26-10-2022,10.35am,in,car,1,no,17
26-10-2022,10.35am,in,car,1,no,62
26-10-2022,10.35am,in,car,1,no,63
26-10-2022,10.35am,in,car,1,no,68
26-10-2022,10.35am,in,car,4,no,64
26-10-2022,10.35am,in,car,1,no,20
26-10-2022,10.35am,in,car,1,no,12
26-10-2022,10.35am,in,car,1,no,17
26-10-2022,10.35am,in,taxi,1,no,13
26-10-2022,10.35am,in,van,1,no,70
26-10-2022,10.35am,in,car,2,no,19
26-10-2022,10.35am,in,van,1,no,16
26-10-2022,10.35am,in,car,1,no,13
26-10-2022,10.35am,in,car,1,no,56
26-10-2022,10.35am,in,car,1,no,23
26-10-2022,10.35am,in,car,1,no,14
26-10-2022,10.35am,in,bus,60,no,66
26-10-2022,10.35am,in,car,1,no,20
26-10-2022,10.35am,in,car,1,no,18
26-10-2022,10.35am,in,car,1,no,12
26-10-2022,10.35am,in,van,1,no,20
26-10-2022,10.35am,in,car,1,no,16
26-10-2022,10.35am,in,car,2,no,16
26-10-2022,10.35am,in,car,2,no,68
26-10-2022,10.35am,in,car,2,no,23
26-10-2022,10.35am,in,bus,40,no,66
26-10-2022,10.35am,in,car,2,no,72
26-10-2022,10.35am,in,car,1,no,67
26-10-2022,10.35am,in,bicycle,1,no,none
26-10-2022,10.40am,in,car,1,no,18
26-10-2022,10.40am,in,car,2,no,none
26-10-2022,10.40am,in,bicycle,1,no,none
26-10-2022,10.40am,in,car,1,no,15
26-10-2022,10.40am,in,car,3,no,16
26-10-2022,10.40am,in,car,1,no,64
26-10-2022,10.40am,in,car,1,no,none
26-10-2022,10.40am,in,car,1,no,69
26-10-2022,10.40am,in,car,3,no,20
26-10-2022,10.40am,in,car,2,no,64
26-10-2022,10.40am,in,car,1,no,62
26-10-2022,10.40am,in,car,2,no,17
26-10-2022,10.40am,in,van,1,no,15
26-10-2022,10.40am,in,car,2,no,66
26-10-2022,10.40am,in,car,3,no,11
26-10-2022,10.40am,in,car,1,no,13
26-10-2022,10.40am,in,car,4,no,61
26-10-2022,10.40am,in,car,1,no,11
26-10-2022,10.40am,in,car,1,no,69
26-10-2022,10.45am,in,car,1,no,22
26-10-2022,10.45am,in,car,1,no,10
26-10-2022,10.45am,in,car,1,no,8
26-10-2022,10.45am,in,car,1,no,14
26-10-2022,10.45am,in,car,1,no,23
26-10-2022,10.45am,in,van,1,no,22
26-10-2022,10.45am,in,car,1,no,66
26-10-2022,10.45am,in,car,1,no,59
26-10-2022,10.45am,in,car,1,no,70
26-10-2022,10.45am,in,van,1,no,69
26-10-2022,10.45am,in,van,1,no,65
26-10-2022,10.45am,in,car,1,no,67
26-10-2022,10.45am,in,car,1,no,none
26-10-2022,10.45am,in,car,1,no,22
26-10-2022,10.45am,in,car,2,no,68
26-10-2022,10.45am,in,car,1,no,4
26-10-2022,10.45am,in,car,1,no,59
26-10-2022,10.45am,in,car,1,no,12
26-10-2022,10.45am,in,car,1,no,63
26-10-2022,10.45am,in,car,2,no,12
26-10-2022,10.45am,in,car,1,no,15
26-10-2022,10.45am,in,car,2,no,70
26-10-2022,10.45am,in,car,3,no,64
26-10-2022,10.45am,in,taxi,1,no,73
26-10-2022,10.45am,in,car,3,no,65
26-10-2022,10.45am,in,car,1,no,17
26-10-2022,10.45am,in,bus,80,no,67
26-10-2022,10.45am,in,car,1,no,19
26-10-2022,10.45am,in,bicycle,1,no,none
26-10-2022,10.45am,in,car,1,no,44
26-10-2022,10.45am,in,car,1,no,none
26-10-2022,10.45am,in,car,1,no,9
26-10-2022,10.45am,in,car,2,no,67
26-10-2022,10.45am,in,car,2,no,57
26-10-2022,10.45am,in,car,1,no,none
26-10-2022,10.45am,in,car,1,no,64
26-10-2022,10.45am,in,car,1,no,38
26-10-2022,10.50am,in,car,2,no,13
26-10-2022,10.50am,in,van,1,no,67
26-10-2022,10.50am,in,car,4,no,63
26-10-2022,10.50am,in,car,2,no,9
26-10-2022,10.50am,in,van,1,no,65
26-10-2022,10.50am,in,car,1,no,12
26-10-2022,10.50am,in,car,2,no,none
26-10-2022,10.50am,in,car,4,no,64
26-10-2022,10.50am,in,car,2,no,15
26-10-2022,10.50am,in,car,1,no,10
26-10-2022,10.50am,in,bus,96,no,66
26-10-2022,10.50am,in,car,2,no,57
26-10-2022,10.50am,in,car,2,no,15
26-10-2022,10.50am,in,car,1,no,61
26-10-2022,10.50am,in,car,2,no,15
26-10-2022,10.50am,in,car,2,no,14
26-10-2022,10.50am,in,car,2,no,63
26-10-2022,10.50am,in,car,1,no,7
26-10-2022,10.50am,in,car,2,no,8
26-10-2022,10.50am,in,car,3,no,19
26-10-2022,10.50am,in,car,1,no,22
26-10-2022,10.50am,in,bus,30,no,66
26-10-2022,10.50am,in,car,3,no,61
26-10-2022,10.50am,in,car,1,no,67
26-10-2022,10.50am,in,car,1,no,72
26-10-2022,10.50am,in,car,2,no,58
26-10-2022,10.50am,in,car,2,no,17
26-10-2022,10.50am,in,car,2,no,15
26-10-2022,10.50am,in,car,1,no,58
26-10-2022,10.50am,in,car,2,no,66
26-10-2022,10.50am,in,motorbike,1,no,16
26-10-2022,10.55am,in,car,2,no,15
26-10-2022,10.55am,in,bus,96,no,66
26-10-2022,10.55am,in,car,1,no,65
26-10-2022,10.55am,in,car,4,no,64
26-10-2022,10.55am,in,car,1,no,15
26-10-2022,10.55am,in,car,2,no,20
26-10-2022,10.55am,in,car,1,no,none
26-10-2022,10.55am,in,car,1,no,11
26-10-2022,10.55am,in,van,1,no,71
26-10-2022,10.55am,in,car,1,no,4
26-10-2022,10.55am,in,car,1,no,12
26-10-2022,10.55am,in,car,1,no,15
26-10-2022,10.55am,in,car,1,no,61
26-10-2022,10.55am,in,car,1,no,21
26-10-2022,10.55am,in,car,2,no,3
26-10-2022,10.55am,in,motorbike,1,no,none
26-10-2022,10.55am,in,car,2,no,67
26-10-2022,10.55am,in,car,1,no,66
26-10-2022,10.55am,in,car,1,no,62
26-10-2022,10.55am,in,car,1,no,16
26-10-2022,10.55am,in,car,1,no,60
26-10-2022,10.55am,in,car,1,no,64
26-10-2022,10.55am,in,car,2,no,62
26-10-2022,10.55am,in,car,4,no,64
26-10-2022,10.55am,in,car,1,no,15
26-10-2022,10.55am,in,bus,50,no,66
26-10-2022,10.55am,in,car,2,no,9
26-10-2022,10.55am,in,taxi,2,no,63
26-10-2022,10.55am,in,car,3,no,14
26-10-2022,10.55am,in,car,2,no,15
26-10-2022,10.55am,in,car,3,no,63
26-10-2022,10.55am,in,car,2,no,8
26-10-2022,10.55am,in,motorbike,1,no,23
26-10-2022,10.55am,in,car,2,no,11
26-10-2022,10.55am,in,car,1,no,21
26-10-2022,10.55am,in,bus,20,no,66
26-10-2022,10.55am,in,car,2,no,54
26-10-2022,10.55am,in,van,1,no,23
